KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,6/4/2021 18:54,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,STANDARD DEVIATION:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,19E104582,19E104582,19D105577,19F100216,19E101781,19E101781,19D105577,19F100385,19F100385,19F100385,19F100216,19D105577,19D105577,19E104582,19E104582,19D105577,19F000167,19F000167,19F100282,18A100917,18A100917,19D105577,19F100216,19F000406,19F000406
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,BGA PE RFU,BGA PE ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,Battery V,Cable Pwr V
5/17/2021,18:00:00,0,Piney Point,0.67,2.82,50537.2,2.212,16.43,5.57,48346.2,140,140,9.32,3.21,31.63,48557.5,1.3,4.53,31562,0.33,0,1.197,8.28,-91.6,27.135,2.215,5.19,0
5/17/2021,18:10:00,0,Piney Point,0.64,2.74,50573.1,2.201,16.07,5.45,48397.8,138.1,138.1,9.2,3.194,31.66,48607.5,1.21,4.25,31595,0.29,0,1.2,8.27,-91.4,27.117,2.202,5.2,0
5/17/2021,18:20:00,0,Piney Point,0.6,2.58,50576.1,2.186,16.19,5.49,48408.2,139,139,9.26,3.171,31.67,48617.1,1.17,4.09,31601,0.25,0,1.199,8.28,-91.6,27.11,2.186,5.2,0
5/17/2021,18:30:00,0,Piney Point,0.58,2.5,50559.8,2.169,16.36,5.54,48405,140,140,9.33,3.147,31.67,48612.7,1.21,4.23,31598,0.36,0,1.197,8.28,-91.8,27.097,2.167,5.2,0
5/17/2021,18:40:00,0,Piney Point,0.57,2.46,50572.1,2.155,16.05,5.44,48449.6,137.1,137.1,9.14,3.127,31.7,48654,1.16,4.07,31625,0.3,0,1.191,8.27,-91.3,27.064,2.153,5.2,0
5/17/2021,18:50:00,0,Piney Point,0.55,2.39,50576.1,2.136,16.18,5.49,48449.2,133.7,133.7,8.91,3.099,31.7,48654.1,1.08,3.81,31625,0.25,0,1.199,8.26,-90.8,27.068,2.135,5.21,0
5/17/2021,19:00:00,0,Piney Point,0.56,2.41,50566.2,2.121,16.12,5.47,48400.1,134.8,134.8,8.98,3.077,31.67,48608.9,1.07,3.78,31596,0.31,0,1.2,8.26,-90.8,27.108,2.119,5.2,0
5/17/2021,19:10:00,0,Piney Point,0.57,2.45,50536,2.099,16.16,5.48,48348,131.5,131.5,8.76,3.045,31.63,48559,1.16,4.08,31563,0.22,0,1.21,8.25,-90.1,27.132,2.097,5.21,0
5/17/2021,19:20:00,0,Piney Point,0.62,2.66,50463.1,2.088,16.43,5.57,48258.2,129.8,129.8,8.64,3.029,31.56,48470.8,1.16,4.06,31506,0.3,0,1.199,8.25,-89.8,27.152,2.09,5.2,0
5/17/2021,19:30:00,0,Piney Point,0.64,2.73,50398.6,2.071,16.62,5.63,48207.5,129.5,129.5,8.63,3.004,31.53,48418.8,1.27,4.42,31472,0.42,0,1.198,8.25,-89.9,27.141,2.072,5.2,0
5/17/2021,19:40:00,0,Piney Point,0.62,2.67,50338.1,2.059,16.72,5.67,48161.4,128.6,128.6,8.57,2.987,31.49,48371.3,1.24,4.33,31441,1.21,0,1.201,8.25,-89.8,27.129,2.058,5.21,0
5/17/2021,19:50:00,0,Piney Point,0.63,2.69,50313.1,2.035,16.43,5.57,48148.6,128.5,128.5,8.56,2.952,31.48,48357.3,1.3,4.54,31432,0.28,0,1.203,8.25,-90,27.118,2.046,5.2,0
5/17/2021,20:00:00,0,Piney Point,0.64,2.73,50235.3,2.013,16.76,5.68,48079.7,127.1,127.1,8.47,2.921,31.43,48287.5,1.15,4.05,31387,0.33,0,1.198,8.24,-89.7,27.112,2.01,5.21,0
5/17/2021,20:10:00,0,Piney Point,0.7,2.96,50216.3,1.991,16.99,5.76,48087.5,128.2,128.2,8.56,2.889,31.44,48292.7,1.35,4.69,31390,0.38,0,1.195,8.25,-90.2,27.086,1.99,5.2,0
5/17/2021,20:20:00,0,Piney Point,0.74,3.1,50228.7,1.969,16.88,5.72,48137.9,129,129,8.61,2.856,31.47,48339.2,1.45,5.01,31420,6.68,0,1.199,8.26,-90.5,27.046,1.97,5.2,0
5/17/2021,20:30:00,0,Piney Point,0.7,2.97,50180.9,1.948,17.01,5.76,48117.2,130.4,130.4,8.71,2.827,31.45,48315.9,1.36,4.71,31405,0.26,0,1.197,8.27,-91.1,27.021,1.948,5.21,0
5/17/2021,20:40:00,0,Piney Point,0.72,3.03,50194,1.928,17.06,5.78,48110,132,132,8.81,2.797,31.45,48310.7,1.39,4.82,31402,0.32,0,1.205,8.28,-91.8,27.041,1.932,5.2,0
5/17/2021,20:50:00,0,Piney Point,0.75,3.16,50155.7,1.902,17.1,5.79,48128.1,134,134,8.96,2.759,31.46,48323.2,1.48,5.11,31410,0.28,0,1.2,8.29,-92.5,26.985,1.904,5.21,0
5/17/2021,21:00:00,0,Piney Point,0.86,3.57,50087.6,1.88,17.47,5.92,48127,133.6,133.6,8.94,2.727,31.46,48315.5,1.87,6.36,31405,0.35,0,1.191,8.3,-92.9,26.92,1.882,5.2,0
5/17/2021,21:10:00,0,Piney Point,0.79,3.28,50061.8,1.856,17.64,5.98,48077.4,136.5,136.5,9.13,2.692,31.42,48268.3,1.66,5.7,31374,0.32,0,1.203,8.31,-93.7,26.945,1.852,5.21,0
5/17/2021,21:20:00,0,Piney Point,0.84,3.5,49980.3,1.832,18,6.1,48014.7,137.2,137.2,9.18,2.658,31.37,48203.7,1.94,6.6,31332,0.48,0,1.21,8.32,-94.3,26.93,1.831,5.21,0
5/17/2021,21:30:00,0,Piney Point,0.94,3.87,49890.8,1.811,18.44,6.24,47935.6,137.2,137.2,9.19,2.627,31.32,48123.6,1.92,6.54,31280,0.45,0,1.203,8.33,-94.5,26.923,1.809,5.2,0
5/17/2021,21:40:00,0,Piney Point,0.99,4.05,49777.1,1.786,19.04,6.44,47835.1,138.5,138.5,9.28,2.59,31.24,48021.8,2.16,7.29,31214,0.43,0,1.201,8.34,-95,26.914,1.787,5.21,0
5/17/2021,21:50:00,0,Piney Point,0.98,4.02,49674.3,1.766,19.41,6.57,47764.4,137.9,137.9,9.24,2.561,31.19,47947.9,2.06,6.97,31166,0.47,0,1.2,8.34,-95.1,26.885,1.758,5.2,0
5/17/2021,22:00:00,0,Piney Point,1.05,4.27,49574.3,1.75,19.6,6.63,47698.9,137.4,137.4,9.21,2.538,31.14,47879,1.82,6.22,31121,0.37,0,1.2,8.34,-95.2,26.854,1.741,5.21,0
5/17/2021,22:10:00,0,Piney Point,1,4.11,49445.2,1.731,20.33,6.88,47630.5,135.6,135.6,9.11,2.511,31.09,47804.7,2.09,7.07,31073,0.42,0,1.202,8.34,-95,26.797,1.723,5.21,0
5/17/2021,22:20:00,0,Piney Point,0.99,4.04,49341.7,1.712,20.56,6.96,47573.5,135.1,135.1,9.08,2.483,31.04,47743.1,2.09,7.08,31033,0.49,0,1.201,8.33,-94.9,26.753,1.708,5.2,0
5/17/2021,22:30:00,0,Piney Point,1.02,4.18,49233.6,1.695,21.03,7.11,47511,133.7,133.7,9,2.458,31,47676.1,2.19,7.4,30989,0.47,0,1.2,8.34,-94.9,26.71,1.697,5.21,0
5/17/2021,22:40:00,0,Piney Point,0.95,3.9,49233.2,1.68,20.69,7,47517.5,130,130,8.75,2.436,31,47682,1.9,6.48,30993,0.52,0,1.2,8.32,-94.2,26.703,1.672,5.2,0
5/17/2021,22:50:00,0,Piney Point,0.99,4.04,49186.4,1.664,20.79,7.03,47501.4,128.9,128.9,8.68,2.414,30.99,47662.8,2.1,7.12,30981,0.52,0,1.193,8.32,-94,26.674,1.672,5.2,0
5/17/2021,23:00:00,0,Piney Point,1.05,4.3,49023,1.65,21.73,7.35,47424.5,129.6,129.6,8.75,2.394,30.93,47577.4,2.14,7.25,30925,0.54,0,1.19,8.33,-94.5,26.591,1.651,5.21,0
5/17/2021,23:10:00,0,Piney Point,1.02,4.18,49013.7,1.633,21.49,7.27,47441.9,126.1,126.1,8.51,2.368,30.94,47592.3,2.27,7.65,30935,0.45,0,1.199,8.32,-93.8,26.564,1.632,5.21,0
5/17/2021,23:20:00,0,Piney Point,1,4.09,48953.2,1.617,21.65,7.32,47418.1,124.6,124.6,8.41,2.345,30.92,47564.9,2.08,7.03,30917,0.6,0,1.205,8.32,-93.7,26.528,1.614,5.21,0
5/17/2021,23:30:00,0,Piney Point,1.08,4.42,48814.2,1.604,22.43,7.58,47359.7,121.9,121.9,8.25,2.326,30.87,47498.6,2.34,7.88,30874,0.49,0,1.209,8.31,-93.1,26.45,1.601,5.2,0
5/17/2021,23:40:00,0,Piney Point,1.12,4.57,48653.4,1.593,23.19,7.84,47302.1,121.2,121.2,8.21,2.31,30.83,47431,2.29,7.71,30830,0.56,0,1.2,8.31,-93.2,26.349,1.589,5.21,0
5/17/2021,23:50:00,0,Piney Point,1.16,4.71,48618,1.582,23.29,7.87,47291.6,115.5,115.5,7.83,2.295,30.82,47418.1,2.6,8.73,30822,0.54,0,1.201,8.28,-91.8,26.325,1.58,5.21,0
5/18/2021,0:00:00,0,Piney Point,1.19,4.82,48536,1.57,23.59,7.97,47260.6,113.8,113.8,7.73,2.277,30.79,47382.1,2.47,8.29,30798,0.56,0,1.208,8.28,-91.5,26.275,1.566,5.2,0
5/18/2021,0:10:00,0,Piney Point,1.19,4.81,48341.2,1.558,24.63,8.32,47195.8,109.9,109.9,7.48,2.26,30.74,47304.7,2.4,8.07,30748,0.66,0,1.194,8.26,-90.1,26.147,1.555,5.21,0
5/18/2021,0:20:00,0,Piney Point,1.19,4.82,48322,1.546,24.6,8.31,47228.1,109.3,109.3,7.44,2.243,30.76,47332.1,2.6,8.73,30766,0.58,0,1.194,8.26,-90.2,26.095,1.545,5.2,0
5/18/2021,0:30:00,0,Piney Point,1.11,4.52,48241.6,1.535,24.72,8.35,47209.8,106.8,106.8,7.28,2.226,30.75,47307.8,2.32,7.83,30750,0.62,0,1.204,8.25,-89.6,26.033,1.531,5.2,0
5/18/2021,0:40:00,0,Piney Point,1.17,4.73,48237.5,1.53,24.25,8.19,47237.3,105.3,105.3,7.18,2.219,30.76,47332.3,2.35,7.91,30766,0.64,0,1.209,8.24,-89.2,26.001,1.528,5.21,0
5/18/2021,0:50:00,0,Piney Point,1.06,4.31,48186.9,1.524,24.36,8.23,47245.2,101.5,101.5,6.93,2.211,30.77,47334.5,2.09,7.08,30767,0.54,0,1.2,8.23,-88.3,25.943,1.526,5.2,0
5/18/2021,1:00:00,0,Piney Point,1.02,4.17,48098.1,1.522,24.87,8.4,47214.9,96.2,96.2,6.57,2.208,30.74,47298.5,2.16,7.3,30744,0.59,0,1.192,8.19,-86.4,25.885,1.516,5.21,0
5/18/2021,1:10:00,0,Piney Point,1.06,4.32,48041.7,1.514,24.54,8.29,47196.8,93.8,93.8,6.41,2.196,30.73,47276.8,2.05,6.94,30730,0.73,0,1.194,8.18,-85.7,25.847,1.515,5.2,0
5/18/2021,1:20:00,0,Piney Point,1.08,4.38,48018.9,1.515,24.83,8.39,47197.5,95.5,95.5,6.54,2.198,30.73,47275.2,2.21,7.48,30729,0.63,0,1.204,8.2,-86.6,25.824,1.517,5.2,0
5/18/2021,1:30:00,0,Piney Point,1.07,4.35,48023.7,1.519,24.39,8.24,47212.8,95.1,95.1,6.51,2.203,30.74,47289.5,2.22,7.48,30738,0.63,0,1.2,8.2,-86.7,25.813,1.518,5.21,0
5/18/2021,1:40:00,0,Piney Point,1.03,4.2,48160.1,1.523,23.63,7.99,47238.1,102.6,102.6,7.01,2.209,30.76,47325.5,2.08,7.03,30762,0.62,0,1.191,8.25,-89.5,25.923,1.521,5.2,0
5/18/2021,1:50:00,0,Piney Point,1.09,4.46,48211.1,1.524,23.77,8.03,47240.7,103.2,103.2,7.04,2.211,30.77,47332.7,2.3,7.76,30766,0.63,0,1.207,8.25,-89.8,25.972,1.524,5.21,0
5/18/2021,2:00:00,0,Piney Point,1.12,4.54,48208.3,1.527,23.86,8.06,47241.1,104.5,104.5,7.13,2.214,30.77,47332.9,2.35,7.93,30766,1.56,0,1.204,8.25,-89.8,25.968,1.521,5.2,0
5/18/2021,2:10:00,0,Piney Point,1.29,5.21,48280.1,1.536,23.34,7.89,47314.8,106.2,106.2,7.25,2.228,30.82,47406.4,2.29,7.74,30814,0.75,0,1.191,8.26,-90.2,25.965,1.538,5.2,0
5/18/2021,2:20:00,0,Piney Point,1.09,4.45,48423.6,1.553,22.64,7.65,47388,109.7,109.7,7.48,2.252,30.88,47486.3,2.18,7.38,30866,0.55,0,1.191,8.27,-91.1,26.033,1.553,5.21,0
5/18/2021,2:30:00,0,Piney Point,1.09,4.45,48491.4,1.564,22.62,7.65,47416.8,112.2,112.2,7.64,2.268,30.9,47518.8,2.18,7.38,30887,0.48,0,1.204,8.29,-92,26.072,1.562,5.2,0
5/18/2021,2:40:00,0,Piney Point,1.02,4.18,48538.5,1.577,21.66,7.33,47442.8,113.9,113.9,7.75,2.287,30.92,47546.9,2.03,6.87,30906,0.52,0,1.207,8.3,-92.6,26.092,1.574,5.2,0
